Player,Season,Team,total_runs,total_balls_faced,times_dismissed,innings_batted,Strike_Rate,Batting_Average,z_runs,z_avg,z_sr,Batting_Impact_Score
A Ashish Reddy,2012,Deccan Chargers,35,29,4,5,120.6896551724138,8.75,-0.5242772158787097,-0.7199630115018583,0.3661901815063111,-0.33101323587592674
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,6,10,140.4494382022472,20.833333333333332,0.10206335435033329,0.1994274178901668,0.9452094125296625,0.3274544784261406
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,3,5,158.69565217391303,24.333333333333332,-0.31123992962530606,0.19543466143224145,0.9915347285461243,0.09045492357618368
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,2,3,162.06896551724137,23.5,-0.4043448446517878,0.05465222064399234,1.0852608048894081,0.036906127527878196
A Badoni,2022,Lucknow Super Giants,161,130,8,11,123.84615384615385,20.125,0.25239804032074065,0.008590855417879902,0.35443011276651243,0.24133498069675446
A Badoni,2023,Lucknow Super Giants,238,172,9,12,138.37209302325581,26.444444444444443,0.7169822915846691,0.3737061236719023,0.6852587805187544,0.6575599886312754
A Badoni,2024,Lucknow Super Giants,235,171,8,12,137.4269005847953,29.375,0.7286505861001792,0.4216076900855262,0.5055733466994775,0.6268248418478058
A Badoni,2025,Lucknow Super Giants,329,222,10,11,148.19819819819818,32.9,1.1616138794370943,0.6614912796547562,0.5753444372134973,0.9400281289138444
A Chandila,2012,Rajasthan Royals,0,1,0,1,0.0,,-0.7582692175392883,,-1.6597642664573473,
A Chandila,2013,Rajasthan Royals,4,6,0,1,66.66666666666666,,-0.6739762557450081,,-0.3970364951568985,
A Chopra,2008,Kolkata Knight Riders,42,52,4,5,80.76923076923077,10.5,-0.4732721176576876,-0.5376276435883575,-0.4334301433594663,-0.4729649529727328
A Chopra,2009,Kolkata Knight Riders,11,19,1,1,57.89473684210527,11.0,-0.6639598500539757,-0.4982666306132262,-0.6271432215938236,-0.6299017100228252
A Choudhary,2017,Royal Challengers Bangalore,25,20,1,3,125.0,25.0,-0.6027376688949992,0.3079019424071856,0.44911873932130963,-0.2031776251455943
A Dananjaya,2018,Mumbai Indians,4,5,0,1,80.0,,-0.7176421004612439,,-0.46549451142952075,
A Flintoff,2009,Chennai Super Kings,62,53,2,3,116.98113207547169,31.0,-0.2519532031839657,1.0033047281141376,0.6284110148026371,0.1564265410074005
A Kamboj,2024,Mumbai Indians,2,2,0,1,100.0,,-0.7221261573506518,,-0.05888497858492809,
A Kamboj,2025,Chennai Super Kings,14,12,2,5,116.66666666666667,7.0,-0.6457426789224657,-0.9843455880161954,0.15665409290864302,-0.495933922328748
A Kumble,2008,Royal Challengers Bangalore,13,17,1,4,76.47058823529412,13.0,-0.6909331966478423,-0.4189576076189418,-0.520016602488151,-0.6074077097535844
A Kumble,2009,Royal Challengers Bangalore,16,19,1,6,84.21052631578947,16.0,-0.6235670415373081,-0.12287379093138522,-0.0679467969802741,-0.40955799280716115
A Kumble,2010,Royal Challengers Bangalore,6,11,0,5,54.54545454545454,,-0.6733448558058178,,-0.8127220226665585,
A Manohar,2022,Gujarat Titans,108,75,6,7,144.0,18.0,-0.0847800262791344,-0.130188170663501,0.691676976342235,0.10252300271855297
A Manohar,2023,Gujarat Titans,114,83,6,6,137.34939759036143,19.0,-0.017050775836848,-0.1318587633352214,0.6685199032877736,0.13712069581955139
A Manohar,2024,Gujarat Titans,9,16,2,2,56.25,4.5,-0.6785405899508414,-1.2051210654349007,-0.7187058920277346,-0.7675689867926736
A Manohar,2025,Sunrisers Hyderabad,61,61,5,5,100.0,12.2,-0.3760736051354837,-0.6539072979818732,-0.06465366050963726,-0.3398936729059805
A Mhatre,2025,Chennai Super Kings,240,127,7,7,188.9763779527559,34.285714285714285,0.6509639312021711,0.7495476371639025,1.1168160782115752,0.7822145238487819
A Mishra,2008,Delhi Daredevils,37,42,3,3,88.09523809523809,12.333333333333334,-0.5107998898973695,-0.45060295054411925,-0.2858642481025605,-0.4455364385456797
A Mishra,2009,Delhi Daredevils,26,20,2,5,130.0,13.0,-0.5427814245039728,-0.3481094947404898,0.9050549818473028,-0.15162153345163143
A Mishra,2010,Delhi Daredevils,39,51,4,7,76.47058823529412,9.75,-0.4348887369062396,-0.6960968984294631,-0.37161174892170123,-0.45825071413858853
A Mishra,2011,Deccan Chargers,68,49,4,9,138.77551020408163,17.0,-0.228473399949708,-0.16542062417161546,0.9234971641887769,0.06897715745162711
A Mishra,2012,Deccan Chargers,16,20,3,5,80.0,5.333333333333333,-0.6513014453515953,-0.92072042059868,-0.3168458895214366,-0.6081004026811183
A Mishra,2013,Sunrisers Hyderabad,89,96,3,6,92.70833333333334,29.666666666666668,-0.12882446352927243,0.8438741366332393,0.07670987930417383,0.06846391220346588
A Mishra,2014,Sunrisers Hyderabad,4,7,1,2,57.14285714285714,4.0,-0.733590055441696,-1.1650087576576746,-0.6829080401149223,-0.7856323569423993
A Mishra,2015,Delhi Daredevils,8,12,2,4,66.66666666666666,4.0,-0.7399795286779968,-1.1877622098577547,-0.6753053510823592,-0.7909783864560511
A Mishra,2016,Delhi Daredevils,4,14,2,2,28.57142857142857,2.0,-0.6650812602330565,-1.2852233828401964,-1.2136988017088555,-0.8952569639930772
A Mishra,2017,Delhi Daredevils,49,52,1,6,94.23076923076923,49.0,-0.4364652085101719,1.967772817076809,-0.10852066470713757,0.006156631278633844
A Mishra,2018,Delhi Daredevils,1,2,0,1,50.0,,-0.7349800108982871,,-0.9930980081515902,
A Mishra,2019,Delhi Capitals,21,24,2,4,87.5,10.5,-0.5807101298584111,-0.5858068295252511,-0.16594482499758442,-0.4777833085932304
