Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
A Ashish Reddy,2012,11,227,163,9,8.355828220858896,14.818181818181818,1.0140011359284644,-0.047893488923539895,-0.622472399189168,0.047893488923539895,0.622472399189168,0.6171341489658464
A Ashish Reddy,2013,3,69,40,10,10.350000000000001,13.333333333333334,-0.231434002790778,1.394067189652671,-0.7747906078597372,-1.394067189652671,0.7747906078597372,-0.4874219265948633
A Ashish Reddy,2015,4,49,36,6,8.166666666666668,9.0,-0.11084325901488373,-0.07892060861427343,-0.9212683209474832,0.07892060861427343,0.9212683209474832,0.11039083164967631
A Ashish Reddy,2016,1,39,23,3,10.173913043478262,23.0,-0.540162585215667,1.1106380828417184,-0.18957772041523765,-1.1106380828417184,0.18957772041523765,-0.6303679635401492
A Badoni,2022,2,11,12,11,5.5,6.0,-0.41364594679161687,-1.109357972895571,-1.5094198827338312,1.109357972895571,1.5094198827338312,0.407865299527716
A Badoni,2023,0,0,1,12,0.0,,-0.677698327828237,-4.3593224849306065,,4.3593224849306065,,
A Badoni,2024,0,25,12,12,12.5,,-0.6654600843005194,0.737649541931141,,-0.737649541931141,,
A Badoni,2025,2,13,10,13,7.800000000000001,5.0,-0.3726635177988229,-0.8019722730526576,-1.3135588834957574,0.8019722730526576,1.3135588834957574,0.2913923691933823
A Chandila,2012,5,86,84,4,6.142857142857142,16.8,0.06949801344513834,-0.8962882867686108,-0.47756413128117936,0.8962882867686108,0.47756413128117936,0.42008452678375985
A Chandila,2013,6,156,150,8,6.24,25.0,0.18093931127279006,-0.7843454294327296,0.19283562316997344,0.7843454294327296,-0.19283562316997344,0.3360652124623543
A Chopra,2008,0,0,0,5,,,-0.7229054535541496,,,,,
A Chopra,2009,0,0,0,1,,,-0.7322492347976829,,,,,
A Choudhary,2017,5,137,101,5,8.138613861386139,20.2,0.09455020150909281,-0.30012937543297297,-0.19123002337343403,0.30012937543297297,0.19123002337343403,0.18100488566210204
A Dananjaya,2018,0,46,24,1,11.5,,-0.7600661620678525,1.360127866819696,,-1.360127866819696,,
A Flintoff,2009,2,105,66,3,9.545454545454545,33.0,-0.3840615583088711,0.9520833513629007,0.7532762808410624,-0.9520833513629007,-0.7532762808410624,-0.63825139425761
A Kamboj,2024,2,102,60,3,10.2,30.0,-0.34900693841017,0.02892708652437764,0.5151544656431375,-0.02892708652437764,-0.5151544656431375,-0.26190111933508775
A Kamboj,2025,8,171,129,8,7.953488372093023,16.125,0.5849301039540411,-0.751572287452316,-0.5133915736539169,0.751572287452316,0.5133915736539169,0.6325240886334187
A Kumble,2008,8,294,230,10,7.669565217391304,28.75,0.6200829071850542,-0.32194014308445673,0.8566281792744574,0.32194014308445673,-0.8566281792744574,0.2942262767809184
A Kumble,2009,22,340,355,16,5.746478873239436,16.136363636363637,3.097815206579246,-0.8449891907829707,-0.41783000214053273,0.8449891907829707,0.41783000214053273,1.9073283203847424
A Kumble,2010,19,385,380,16,6.078947368421052,20.0,2.735342159511343,-1.0502929346717287,-0.10613034731494791,1.0502929346717287,0.10613034731494791,1.7511931589880187
A Manohar,2022,0,0,0,7,,,-0.7124776193787166,,,,,
A Manohar,2023,0,0,0,6,,,-0.677698327828237,,,,,
A Manohar,2024,0,0,0,2,,,-0.6654600843005194,,,,,
A Manohar,2025,0,0,0,5,,,-0.6918613917164442,,,,,
A Mhatre,2025,0,0,0,7,,,-0.6918613917164442,,,,,
A Mishra,2008,11,134,119,6,6.756302521008403,10.818181818181818,1.1237035424622557,-0.6658370670193148,-1.114532404617803,0.6658370670193148,1.114532404617803,0.9620746053805584
A Mishra,2009,14,283,253,11,6.711462450592885,18.071428571428573,1.705064500623999,-0.38851206639211283,-0.283448149106834,0.38851206639211283,0.283448149106834,1.0310286959152641
A Mishra,2010,20,347,318,14,6.547169811320755,15.9,2.9180385201652723,-0.8357836783604999,-0.4499157014890684,0.8357836783604999,0.4499157014890684,1.8190309027321714
A Mishra,2011,19,354,320,14,6.637499999999999,16.842105263157894,2.5594947437126243,-0.559416751946799,-0.5017810797457164,0.559416751946799,0.5017810797457164,1.5508103969995493
A Mishra,2012,13,364,282,14,7.74468085106383,21.692307692307693,1.3288355100895732,-0.28219128630777723,-0.11984421516110602,0.28219128630777723,0.11984421516110602,0.7811613375266746
A Mishra,2013,24,383,372,17,6.17741935483871,15.5,2.655179195654198,-0.8175148861553233,-0.595088593525648,0.8175148861553233,0.595088593525648,1.7029830970103095
A Mishra,2014,8,334,225,10,8.906666666666666,28.125,0.5986450880842081,0.24114650529346215,0.19881903762795158,-0.24114650529346215,-0.19881903762795158,0.18509841154519957
A Mishra,2015,9,301,241,12,7.4937759336099585,26.77777777777778,0.6618621523869503,-0.45937517033824693,0.10125853072832922,0.45937517033824693,-0.10125853072832922,0.47652360620261225
A Mishra,2016,14,331,276,14,7.195652173913043,19.714285714285715,1.656855137621917,-0.558526064466892,-0.35349308903430965,0.558526064466892,0.35349308903430965,1.076935654729517
A Mishra,2017,10,339,233,14,8.72961373390558,23.3,0.9078852682539774,-0.023167853774273717,0.061750648161091534,0.023167853774273717,-0.061750648161091534,0.4527887857238208
A Mishra,2018,13,259,222,10,7.0,17.076923076923077,1.2875668781622314,-1.0629827995071361,-0.43284629048545253,1.0629827995071361,0.43284629048545253,1.0807543624814313
A Mishra,2019,10,267,240,11,6.675000000000001,24.0,0.9066625467692838,-0.9703525214999524,-0.058259805173285974,0.9703525214999524,0.058259805173285974,0.8016936266856182
A Mishra,2020,3,70,60,3,7.0,20.0,-0.22359422330022946,-0.8218634600960757,-0.4646638506350642,0.8218634600960757,0.4646638506350642,0.24555467697877137
A Mishra,2021,6,109,84,4,7.7857142857142865,14.0,0.26727190365349024,-0.19379892294880235,-0.722245719139626,0.19379892294880235,0.722245719139626,0.3098024327297698
A Mishra,2023,7,148,114,7,7.7894736842105265,16.285714285714285,0.4118320607571594,-0.5460409771960663,-0.49914007562522555,0.5460409771960663,0.49914007562522555,0.47190138374098667
A Mishra,2024,1,20,12,1,10.0,12.0,-0.5072335113553447,-0.03270095307621024,-0.8254939065082891,0.03270095307621024,0.8254939065082891,-0.1183473361247554
A Mithun,2009,0,39,24,1,9.75,,-0.7322492347976829,1.0488418072468924,,-1.0488418072468924,,
A Mithun,2010,1,37,18,1,12.333333333333332,18.0,-0.5531923322593836,1.8150624158920792,-0.2738305200828116,-1.8150624158920792,0.2738305200828116,-0.8707934336794978
A Mithun,2011,6,291,204,12,8.558823529411764,34.0,0.3277401805973482,0.06629809696107106,1.1243761455599552,-0.06629809696107106,-1.1243761455599552,-0.027990665471694043
A Mithun,2012,0,32,18,1,10.666666666666666,,-0.7175879219576333,0.8380210788592329,,-0.8380210788592329,,
A Mithun,2013,1,36,24,1,9.0,24.0,-0.5063495454998234,0.6785301979822835,0.10989623193885538,-0.6785301979822835,-0.10989623193885538,-0.5071447768345392
A Mukund,2008,0,0,0,1,,,-0.7229054535541496,,,,,
A Mukund,2013,0,0,0,1,,,-0.643807316854346,,,,,
A Nehra,2008,14,332,269,14,7.405204460966543,19.214285714285715,1.6273241777394571,-0.42148745986816,-0.19158812253462598,0.42148745986816,0.19158812253462598,0.9899209182037785
A Nehra,2009,22,320,306,13,6.274509803921569,13.909090909090908,3.097815206579246,-0.5952087318364409,-0.572504416873951,0.5952087318364409,0.572504416873951,1.8431063219634698
A Nehra,2010,6,95,84,4,6.785714285714286,14.0,0.36028947101026265,-0.7264980202822299,-0.6092308656185389,0.7264980202822299,0.6092308656185389,0.5258036724466926
A Nehra,2012,12,392,288,13,8.166666666666668,24.0,1.1714183230090187,-0.12041304425089058,0.048891594329494525,0.12041304425089058,-0.048891594329494525,0.6205199878428969
A Nehra,2013,13,307,216,10,8.527777777777779,16.615384615384617,1.1431437107544486,0.42823948073132556,-0.5025792725370932,-0.42823948073132556,0.5025792725370932,0.49707492800182435
A Nehra,2014,8,139,90,4,9.266666666666667,11.25,0.5986450880842081,0.42531275859332324,-0.867908480808092,-0.42531275859332324,0.867908480808092,0.2806493506556548
A Nehra,2015,24,436,372,16,7.03225806451613,15.5,2.9799783865924527,-0.7203188421529051,-0.5474069408035143,0.7203188421529051,0.5474069408035143,1.8242118291702702
A Nehra,2016,11,192,156,8,7.384615384615385,14.181818181818182,1.1498510477363206,-0.4526217698875131,-0.6294928796735378,0.4526217698875131,0.6294928796735378,0.8277670752798206
A Nehra,2017,10,192,127,6,9.070866141732283,12.7,0.9078852682539774,0.13675398468309333,-0.8032800351505117,-0.13675398468309333,0.8032800351505117,0.5265707447604828
A Nel,2008,1,31,18,1,10.333333333333334,18.0,-0.5550319084617491,0.6811246539081306,-0.32506885010582026,-0.6811246539081306,0.32506885010582026,-0.4671492555828472
A Nortje,2020,23,502,366,16,8.229508196721312,15.91304347826087,2.7444706877647627,-0.13427818941440695,-0.7593064607399973,0.13427818941440695,0.7593064607399973,1.5331286792884233
A Nortje,2021,12,174,182,8,5.736263736263736,15.166666666666666,1.189909160101155,-1.4625323691788255,-0.632876257213852,1.4625323691788255,0.632876257213852,1.2017723478452444
