Player,Season,Team,total_runs,total_balls_faced,times_dismissed,innings_batted,Strike_Rate,Batting_Average,z_runs,z_avg,z_sr,Batting_Impact_Score,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
A Ashish Reddy,2012,Deccan Chargers,35,29,4,5,120.6896551724138,8.75,-0.5242772158787097,-0.7199630115018583,0.3661901815063111,-0.33101323587592674,11,227,163,9,8.355828220858896,14.818181818181818,1.0140011359284644,-0.047893488923539895,-0.622472399189168,0.047893488923539895,0.622472399189168,0.6171341489658464
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,6,10,140.4494382022472,20.833333333333332,0.10206335435033329,0.1994274178901668,0.9452094125296625,0.3274544784261406,3,69,40,10,10.350000000000001,13.333333333333334,-0.231434002790778,1.394067189652671,-0.7747906078597372,-1.394067189652671,0.7747906078597372,-0.4874219265948633
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,3,5,158.69565217391303,24.333333333333332,-0.31123992962530606,0.19543466143224145,0.9915347285461243,0.09045492357618368,4,49,36,6,8.166666666666668,9.0,-0.11084325901488373,-0.07892060861427343,-0.9212683209474832,0.07892060861427343,0.9212683209474832,0.11039083164967631
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,2,3,162.06896551724137,23.5,-0.4043448446517878,0.05465222064399234,1.0852608048894081,0.036906127527878196,1,39,23,3,10.173913043478262,23.0,-0.540162585215667,1.1106380828417184,-0.18957772041523765,-1.1106380828417184,0.18957772041523765,-0.6303679635401492
A Badoni,2022,Lucknow Super Giants,161,130,8,11,123.84615384615385,20.125,0.25239804032074065,0.008590855417879902,0.35443011276651243,0.24133498069675446,2,11,12,11,5.5,6.0,-0.41364594679161687,-1.109357972895571,-1.5094198827338312,1.109357972895571,1.5094198827338312,0.407865299527716
A Badoni,2023,Lucknow Super Giants,238,172,9,12,138.37209302325581,26.444444444444443,0.7169822915846691,0.3737061236719023,0.6852587805187544,0.6575599886312754,0,0,1,12,0.0,,-0.677698327828237,-4.3593224849306065,,4.3593224849306065,,
A Badoni,2024,Lucknow Super Giants,235,171,8,12,137.4269005847953,29.375,0.7286505861001792,0.4216076900855262,0.5055733466994775,0.6268248418478058,0,25,12,12,12.5,,-0.6654600843005194,0.737649541931141,,-0.737649541931141,,
A Badoni,2025,Lucknow Super Giants,329,222,10,11,148.19819819819818,32.9,1.1616138794370943,0.6614912796547562,0.5753444372134973,0.9400281289138444,2,13,10,13,7.800000000000001,5.0,-0.3726635177988229,-0.8019722730526576,-1.3135588834957574,0.8019722730526576,1.3135588834957574,0.2913923691933823
A Chandila,2012,Rajasthan Royals,0,1,0,1,0.0,,-0.7582692175392883,,-1.6597642664573473,,5,86,84,4,6.142857142857142,16.8,0.06949801344513834,-0.8962882867686108,-0.47756413128117936,0.8962882867686108,0.47756413128117936,0.42008452678375985
A Chandila,2013,Rajasthan Royals,4,6,0,1,66.66666666666666,,-0.6739762557450081,,-0.3970364951568985,,6,156,150,8,6.24,25.0,0.18093931127279006,-0.7843454294327296,0.19283562316997344,0.7843454294327296,-0.19283562316997344,0.3360652124623543
A Chopra,2008,Kolkata Knight Riders,42,52,4,5,80.76923076923077,10.5,-0.4732721176576876,-0.5376276435883575,-0.4334301433594663,-0.4729649529727328,0,0,0,5,,,-0.7229054535541496,,,,,
A Chopra,2009,Kolkata Knight Riders,11,19,1,1,57.89473684210527,11.0,-0.6639598500539757,-0.4982666306132262,-0.6271432215938236,-0.6299017100228252,0,0,0,1,,,-0.7322492347976829,,,,,
A Choudhary,2017,Royal Challengers Bangalore,25,20,1,3,125.0,25.0,-0.6027376688949992,0.3079019424071856,0.44911873932130963,-0.2031776251455943,5,137,101,5,8.138613861386139,20.2,0.09455020150909281,-0.30012937543297297,-0.19123002337343403,0.30012937543297297,0.19123002337343403,0.18100488566210204
A Dananjaya,2018,Mumbai Indians,4,5,0,1,80.0,,-0.7176421004612439,,-0.46549451142952075,,0,46,24,1,11.5,,-0.7600661620678525,1.360127866819696,,-1.360127866819696,,
A Flintoff,2009,Chennai Super Kings,62,53,2,3,116.98113207547169,31.0,-0.2519532031839657,1.0033047281141376,0.6284110148026371,0.1564265410074005,2,105,66,3,9.545454545454545,33.0,-0.3840615583088711,0.9520833513629007,0.7532762808410624,-0.9520833513629007,-0.7532762808410624,-0.63825139425761
A Kamboj,2024,Mumbai Indians,2,2,0,1,100.0,,-0.7221261573506518,,-0.05888497858492809,,2,102,60,3,10.2,30.0,-0.34900693841017,0.02892708652437764,0.5151544656431375,-0.02892708652437764,-0.5151544656431375,-0.26190111933508775
A Kamboj,2025,Chennai Super Kings,14,12,2,5,116.66666666666667,7.0,-0.6457426789224657,-0.9843455880161954,0.15665409290864302,-0.495933922328748,8,171,129,8,7.953488372093023,16.125,0.5849301039540411,-0.751572287452316,-0.5133915736539169,0.751572287452316,0.5133915736539169,0.6325240886334187
A Kumble,2008,Royal Challengers Bangalore,13,17,1,4,76.47058823529412,13.0,-0.6909331966478423,-0.4189576076189418,-0.520016602488151,-0.6074077097535844,8,294,230,10,7.669565217391304,28.75,0.6200829071850542,-0.32194014308445673,0.8566281792744574,0.32194014308445673,-0.8566281792744574,0.2942262767809184
A Kumble,2009,Royal Challengers Bangalore,16,19,1,6,84.21052631578947,16.0,-0.6235670415373081,-0.12287379093138522,-0.0679467969802741,-0.40955799280716115,22,340,355,16,5.746478873239436,16.136363636363637,3.097815206579246,-0.8449891907829707,-0.41783000214053273,0.8449891907829707,0.41783000214053273,1.9073283203847424
A Kumble,2010,Royal Challengers Bangalore,6,11,0,5,54.54545454545454,,-0.6733448558058178,,-0.8127220226665585,,19,385,380,16,6.078947368421052,20.0,2.735342159511343,-1.0502929346717287,-0.10613034731494791,1.0502929346717287,0.10613034731494791,1.7511931589880187
A Manohar,2022,Gujarat Titans,108,75,6,7,144.0,18.0,-0.0847800262791344,-0.130188170663501,0.691676976342235,0.10252300271855297,0,0,0,7,,,-0.7124776193787166,,,,,
A Manohar,2023,Gujarat Titans,114,83,6,6,137.34939759036143,19.0,-0.017050775836848,-0.1318587633352214,0.6685199032877736,0.13712069581955139,0,0,0,6,,,-0.677698327828237,,,,,
A Manohar,2024,Gujarat Titans,9,16,2,2,56.25,4.5,-0.6785405899508414,-1.2051210654349007,-0.7187058920277346,-0.7675689867926736,0,0,0,2,,,-0.6654600843005194,,,,,
A Manohar,2025,Sunrisers Hyderabad,61,61,5,5,100.0,12.2,-0.3760736051354837,-0.6539072979818732,-0.06465366050963726,-0.3398936729059805,0,0,0,5,,,-0.6918613917164442,,,,,
A Mhatre,2025,Chennai Super Kings,240,127,7,7,188.9763779527559,34.285714285714285,0.6509639312021711,0.7495476371639025,1.1168160782115752,0.7822145238487819,0,0,0,7,,,-0.6918613917164442,,,,,
A Mishra,2008,Delhi Daredevils,37,42,3,3,88.09523809523809,12.333333333333334,-0.5107998898973695,-0.45060295054411925,-0.2858642481025605,-0.4455364385456797,11,134,119,6,6.756302521008403,10.818181818181818,1.1237035424622557,-0.6658370670193148,-1.114532404617803,0.6658370670193148,1.114532404617803,0.9620746053805584
A Mishra,2009,Delhi Daredevils,26,20,2,5,130.0,13.0,-0.5427814245039728,-0.3481094947404898,0.9050549818473028,-0.15162153345163143,14,283,253,11,6.711462450592885,18.071428571428573,1.705064500623999,-0.38851206639211283,-0.283448149106834,0.38851206639211283,0.283448149106834,1.0310286959152641
