Player,Season,Team,total_runs,total_balls_faced,times_dismissed,innings_batted,Strike_Rate,Batting_Average,z_runs,z_avg,z_sr,Batting_Impact_Score,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score,Weighted_Impact_Score,Player_Role
A Ashish Reddy,2012,Deccan Chargers,35,29,4,5,120.6896551724138,8.75,-0.5242772158787097,-0.7199630115018583,0.3661901815063111,1.6689867641240732,11,227,163,9,8.355828220858896,14.818181818181818,1.0140011359284644,-0.0478934889235398,-0.622472399189168,0.0478934889235398,0.622472399189168,2.6171341489658464,2.522319410481669,Bowler
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,6,10,140.4494382022472,20.83333333333333,0.1020633543503332,0.1994274178901668,0.9452094125296624,2.327454478426141,3,69,40,10,10.35,13.333333333333334,-0.231434002790778,1.394067189652671,-0.7747906078597372,-1.394067189652671,0.7747906078597372,1.5125780734051366,2.2459668379240405,Batter
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,3,5,158.69565217391303,24.33333333333333,-0.311239929625306,0.1954346614322414,0.9915347285461245,2.090454923576184,4,49,36,6,8.166666666666668,9.0,-0.1108432590148837,-0.0789206086142734,-0.9212683209474832,0.0789206086142734,0.9212683209474832,2.1103908316496764,2.0994260822092556,All-Rounder
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,2,3,162.06896551724137,23.5,-0.4043448446517878,0.0546522206439923,1.085260804889408,2.036906127527878,1,39,23,3,10.173913043478262,23.0,-0.540162585215667,1.1106380828417184,-0.1895777204152376,-1.1106380828417184,0.1895777204152376,1.3696320364598509,1.9701787184210755,Batter
A Badoni,2022,Lucknow Super Giants,161,130,8,11,123.84615384615384,20.125,0.2523980403207406,0.0085908554178799,0.3544301127665124,2.241334980696754,2,11,12,11,5.5,6.0,-0.4136459467916168,-1.109357972895571,-1.5094198827338312,1.109357972895571,1.5094198827338312,2.407865299527716,2.3162736241706874,All-Rounder
A Badoni,2023,Lucknow Super Giants,238,172,9,12,138.3720930232558,26.444444444444443,0.7169822915846691,0.3737061236719023,0.6852587805187544,2.6575599886312755,0,0,1,12,0.0,,-0.677698327828237,-4.359322484930607,,4.359322484930607,,0.0,2.3918039897681482,Batter
A Badoni,2024,Lucknow Super Giants,235,171,8,12,137.4269005847953,29.375,0.7286505861001792,0.4216076900855262,0.5055733466994775,2.6268248418478057,0,25,12,12,12.5,,-0.6654600843005194,0.737649541931141,,-0.737649541931141,,0.0,2.364142357663025,Batter
A Badoni,2025,Lucknow Super Giants,329,222,10,11,148.19819819819818,32.9,1.1616138794370945,0.6614912796547562,0.5753444372134973,2.9400281289138444,2,13,10,13,7.800000000000001,5.0,-0.3726635177988229,-0.8019722730526576,-1.3135588834957574,0.8019722730526576,1.3135588834957574,2.291392369193382,2.8751645529417984,Batter
A Chandila,2012,Rajasthan Royals,0,1,0,1,0.0,,-0.7582692175392883,,-1.659764266457347,0.0,5,86,84,4,6.142857142857142,16.8,0.0694980134451383,-0.8962882867686108,-0.4775641312811793,0.8962882867686108,0.4775641312811793,2.42008452678376,2.178076074105384,Bowler
A Chandila,2013,Rajasthan Royals,4,6,0,1,66.66666666666666,,-0.6739762557450081,,-0.3970364951568985,0.0,6,156,150,8,6.24,25.0,0.18093931127279,-0.7843454294327296,0.1928356231699734,0.7843454294327296,-0.1928356231699734,2.3360652124623544,2.102458691216119,Bowler
