Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
A Ashish Reddy,2012,11,227,163,55,26,9,8.355828220858896,14.818181818181818,33.74233128834356,1.0140011359284644,-0.047893488923539895,-0.622472399189168,0.047893488923539895,0.622472399189168,0.6654395313160927
A Ashish Reddy,2013,3,69,40,10,10,10,10.350000000000001,13.333333333333334,25.0,-0.22742654453145242,1.394067189652671,-0.7747906078597372,-1.394067189652671,0.7747906078597372,-0.42708616520913956
A Ashish Reddy,2015,4,49,36,9,4,6,8.166666666666668,9.0,25.0,-0.11084325901488373,-0.07892060861427343,-0.9212683209474832,0.07892060861427343,0.9212683209474832,0.10090263826821844
A Ashish Reddy,2016,1,39,23,5,6,3,10.173913043478262,23.0,21.73913043478261,-0.540162585215667,1.1106380828417184,-0.18957772041523765,-1.1106380828417184,0.18957772041523765,-0.6018441886588467
A Badoni,2022,2,11,12,3,0,11,5.5,6.0,25.0,-0.41364594679161687,-1.109357972895571,-1.5094198827338312,1.109357972895571,1.5094198827338312,0.33171510354335665
A Badoni,2023,0,0,1,1,0,12,0.0,,100.0,-0.677698327828237,-4.3593224849306065,,4.3593224849306065,,
A Badoni,2024,0,25,12,1,3,12,12.5,,8.333333333333332,-0.6654600843005194,0.737649541931141,,-0.737649541931141,,
A Badoni,2025,2,13,10,3,1,13,7.800000000000001,5.0,30.0,-0.3726635177988229,-0.8019722730526576,-1.3135588834957574,0.8019722730526576,1.3135588834957574,0.23266057965080827
A Chandila,2012,5,86,84,39,9,4,6.142857142857142,16.8,46.42857142857143,0.06949801344513834,-0.8962882867686108,-0.47756413128117936,0.8962882867686108,0.47756413128117936,0.37874501311758624
A Chandila,2013,6,156,150,64,18,8,6.24,25.0,42.66666666666667,0.1865883414886529,-0.7843454294327296,0.19283562316997344,0.7843454294327296,-0.19283562316997344,0.3090018731730819
A Chopra,2008,0,0,0,0,0,5,,,0.0,-0.7229054535541496,,,,,
A Chopra,2009,0,0,0,0,0,1,,,0.0,-0.7322492347976829,,,,,
A Choudhary,2017,5,137,101,42,19,5,8.138613861386139,20.2,41.584158415841586,0.09455020150909281,-0.30012937543297297,-0.19123002337343403,0.30012937543297297,0.19123002337343403,0.17072592696590805
A Dananjaya,2018,0,46,24,6,6,1,11.5,,25.0,-0.7600661620678525,1.360127866819696,,-1.360127866819696,,
A Flintoff,2009,2,105,66,20,14,3,9.545454545454545,33.0,30.303030303030305,-0.3840615583088711,0.9520833513629007,0.7532762808410624,-0.9520833513629007,-0.7532762808410624,-0.6098503046049086
A Kamboj,2024,2,102,60,19,15,3,10.2,30.0,31.666666666666664,-0.34900693841017,0.02892708652437764,0.5151544656431375,-0.02892708652437764,-0.5151544656431375,-0.2779051119293774
A Kamboj,2025,8,171,129,55,25,8,7.953488372093023,16.125,42.63565891472868,0.5849301039540411,-0.751572287452316,-0.5133915736539169,0.751572287452316,0.5133915736539169,0.6241919794585049
A Kumble,2008,8,294,230,85,41,10,7.669565217391304,28.75,36.95652173913043,0.6200829071850542,-0.32194014308445673,0.8566281792744574,0.32194014308445673,-0.8566281792744574,0.30913341498594826
A Kumble,2009,22,340,355,138,26,16,5.746478873239436,16.136363636363637,38.87323943661972,3.097815206579246,-0.8449891907829707,-0.41783000214053273,0.8449891907829707,0.41783000214053273,2.0199696211745564
A Kumble,2010,19,385,380,151,39,16,6.078947368421052,20.0,39.73684210526316,2.735342159511343,-1.0502929346717287,-0.10613034731494791,1.0502929346717287,0.10613034731494791,1.8354456202299996
A Manohar,2022,0,0,0,0,0,7,,,0.0,-0.7124776193787166,,,,,
A Manohar,2023,0,0,0,0,0,6,,,0.0,-0.677698327828237,,,,,
A Manohar,2024,0,0,0,0,0,2,,,0.0,-0.6654600843005194,,,,,
A Manohar,2025,0,0,0,0,0,5,,,0.0,-0.6918613917164442,,,,,
A Mhatre,2025,0,0,0,0,0,7,,,0.0,-0.6918613917164442,,,,,
A Mishra,2008,11,134,119,42,12,6,6.756302521008403,10.818181818181818,35.294117647058826,1.1237035424622557,-0.6658370670193148,-1.114532404617803,0.6658370670193148,1.114532404617803,0.9849679291527056
A Mishra,2009,14,283,253,98,26,11,6.711462450592885,18.071428571428573,38.73517786561265,1.705064500623999,-0.38851206639211283,-0.283448149106834,0.38851206639211283,0.283448149106834,1.0968563176268584
A Mishra,2010,20,347,318,131,41,14,6.547169811320755,15.9,41.19496855345912,2.9180385201652723,-0.8357836783604999,-0.4499157014890684,0.8357836783604999,0.4499157014890684,1.9231436448224102
A Mishra,2011,19,354,320,130,40,14,6.637499999999999,16.842105263157894,40.625,2.5594947437126243,-0.559416751946799,-0.5017810797457164,0.559416751946799,0.5017810797457164,1.6508142965878405
A Mishra,2012,13,364,282,89,36,14,7.74468085106383,21.692307692307693,31.560283687943265,1.3288355100895732,-0.28219128630777723,-0.11984421516110602,0.28219128630777723,0.11984421516110602,0.8334935487157644
A Mishra,2013,24,383,372,151,36,17,6.17741935483871,15.5,40.59139784946236,2.6706776576092843,-0.8175148861553233,-0.595088593525648,0.8175148861553233,0.595088593525648,1.8033904665605507
A Mishra,2014,8,334,225,66,38,10,8.906666666666666,28.125,29.333333333333332,0.5986450880842081,0.24114650529346215,0.19881903762795158,-0.24114650529346215,-0.19881903762795158,0.22708799121408313
A Mishra,2015,9,301,241,75,29,12,7.4937759336099585,26.77777777777778,31.12033195020747,0.6618621523869503,-0.45937517033824693,0.10125853072832922,0.45937517033824693,-0.10125853072832922,0.48664795530504745
A Mishra,2016,14,331,276,93,36,14,7.195652173913043,19.714285714285715,33.69565217391305,1.656855137621917,-0.558526064466892,-0.35349308903430965,0.558526064466892,0.35349308903430965,1.1318521083872684
A Mishra,2017,10,339,233,78,43,14,8.72961373390558,23.3,33.47639484978541,0.9078852682539774,-0.023167853774273717,0.061750648161091534,0.023167853774273717,-0.061750648161091534,0.49702465644780597
A Mishra,2018,13,259,222,73,24,10,7.0,17.076923076923077,32.88288288288289,1.2875668781622314,-1.0629827995071361,-0.43284629048545253,1.0629827995071361,0.43284629048545253,1.0919835664141861
A Mishra,2019,10,267,240,82,24,11,6.675000000000001,24.0,34.166666666666664,0.9066625467692838,-0.9703525214999524,-0.058259805173285974,0.9703525214999524,0.058259805173285974,0.7985091279490848
A Mishra,2020,3,70,60,17,6,3,7.0,20.0,28.333333333333332,-0.22359422330022946,-0.8218634600960757,-0.4646638506350642,0.8218634600960757,0.4646638506350642,0.19328179280895613
A Mishra,2021,6,109,84,25,10,4,7.7857142857142865,14.0,29.761904761904763,0.26727190365349024,-0.19379892294880235,-0.722245719139626,0.19379892294880235,0.722245719139626,0.31347608176500424
A Mishra,2023,7,148,114,30,16,7,7.7894736842105265,16.285714285714285,26.31578947368421,0.4118320607571594,-0.5460409771960663,-0.49914007562522555,0.5460409771960663,0.49914007562522555,0.46519093791904137
A Mishra,2024,1,20,12,5,3,1,10.0,12.0,41.66666666666667,-0.5072335113553447,-0.03270095307621024,-0.8254939065082891,0.03270095307621024,0.8254939065082891,-0.14534405934633313
A Mithun,2009,0,39,24,7,5,1,9.75,,29.166666666666668,-0.7322492347976829,1.0488418072468924,,-1.0488418072468924,,
A Mithun,2010,1,37,18,2,5,1,12.333333333333332,18.0,11.11111111111111,-0.5531923322593836,1.8150624158920792,-0.2738305200828116,-1.8150624158920792,0.2738305200828116,-0.8076999294978631
A Mithun,2011,6,291,204,67,39,12,8.558823529411764,34.0,32.84313725490196,0.3277401805973482,0.06629809696107106,1.1243761455599552,-0.06629809696107106,-1.1243761455599552,-0.00828875159377307
A Mithun,2012,0,32,18,5,6,1,10.666666666666666,,27.77777777777778,-0.7175879219576333,0.8380210788592329,,-0.8380210788592329,,
A Mithun,2013,1,36,24,9,6,1,9.0,24.0,37.5,-0.5034364685448559,0.6785301979822835,0.10989623193885538,-0.6785301979822835,-0.10989623193885538,-0.4969335518851841
A Mukund,2008,0,0,0,0,0,1,,,0.0,-0.7229054535541496,,,,,
A Mukund,2013,0,0,0,0,0,1,,,0.0,-0.6414414305515577,,,,,
A Nehra,2008,14,332,269,120,55,14,7.405204460966543,19.214285714285715,44.60966542750929,1.6273241777394571,-0.42148745986816,-0.19158812253462598,0.42148745986816,0.19158812253462598,1.0502127540973434
A Nehra,2009,22,320,306,139,38,13,6.274509803921569,13.909090909090908,45.42483660130719,3.097815206579246,-0.5952087318364409,-0.572504416873951,0.5952087318364409,0.572504416873951,1.9682366457006102
