match_id,Season,innings,Team,Player,runs_scored,balls_faced,was_dismissed,boundaries,dot_balls_faced,runs_conceded,wickets_taken,balls_bowled,extras_of_bowler,dot_balls_bowled,boundaries_conceded
335982,2008,1,Royal Challengers Bangalore,AA Noffke,0,0,,0,0,35,1,24,5,6,4
335982,2008,1,Kolkata Knight Riders,BB McCullum,158,73,No,23,17,0,0,0,0,0,0
335982,2008,1,Royal Challengers Bangalore,CL White,0,0,,0,0,22,0,6,2,0,4
335982,2008,1,Kolkata Knight Riders,DJ Hussey,12,12,Yes,1,4,0,0,0,0,0,0
335982,2008,1,Royal Challengers Bangalore,JH Kallis,0,0,,0,0,47,1,24,1,8,8
335982,2008,1,Kolkata Knight Riders,Mohammad Hafeez,5,3,No,1,1,0,0,0,0,0,0
335982,2008,1,Royal Challengers Bangalore,P Kumar,0,0,,0,0,37,0,24,1,10,6
335982,2008,1,Kolkata Knight Riders,RT Ponting,20,20,Yes,2,8,0,0,0,0,0,0
335982,2008,1,Royal Challengers Bangalore,SB Joshi,0,0,,0,0,26,0,18,0,4,2
335982,2008,1,Kolkata Knight Riders,SC Ganguly,10,12,Yes,2,6,0,0,0,0,0,0
335982,2008,1,Royal Challengers Bangalore,Z Khan,0,0,,0,0,38,1,24,0,8,5
335982,2008,2,Royal Challengers Bangalore,AA Noffke,9,10,Yes,1,4,0,0,0,0,0,0
335982,2008,2,Kolkata Knight Riders,AB Agarkar,0,0,,0,0,21,3,24,4,15,3
335982,2008,2,Kolkata Knight Riders,AB Dinda,0,0,,0,0,7,2,18,2,11,0
335982,2008,2,Royal Challengers Bangalore,B Akhil,0,2,Yes,0,2,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,CL White,6,10,Yes,0,5,0,0,0,0,0,0
335982,2008,2,Kolkata Knight Riders,I Sharma,0,0,,0,0,6,1,18,1,10,0
335982,2008,2,Royal Challengers Bangalore,JH Kallis,8,7,Yes,1,3,0,0,0,0,0,0
335982,2008,2,Kolkata Knight Riders,LR Shukla,0,0,,0,0,9,1,7,3,3,1
335982,2008,2,Royal Challengers Bangalore,MV Boucher,7,9,Yes,1,5,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,P Kumar,18,15,No,3,8,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,R Dravid,2,3,Yes,0,1,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,SB Joshi,3,6,Yes,0,3,0,0,0,0,0,0
335982,2008,2,Kolkata Knight Riders,SC Ganguly,0,0,,0,0,20,3,24,1,11,2
335982,2008,2,Royal Challengers Bangalore,V Kohli,1,5,Yes,0,3,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,W Jaffer,6,16,Yes,0,11,0,0,0,0,0,0
335982,2008,2,Royal Challengers Bangalore,Z Khan,3,8,Yes,0,5,0,0,0,0,0,0
335983,2008,1,Kings XI Punjab,B Lee,0,0,,0,0,30,1,24,1,11,5
335983,2008,1,Kings XI Punjab,IK Pathan,0,0,,0,0,47,2,24,0,6,7
335983,2008,1,Chennai Super Kings,JDP Oram,13,10,Yes,1,3,0,0,0,0,0,0
335983,2008,1,Kings XI Punjab,JR Hopes,0,0,,0,0,53,1,24,0,7,8
335983,2008,1,Kings XI Punjab,K Goel,0,0,,0,0,25,0,12,0,2,3
335983,2008,1,Chennai Super Kings,MEK Hussey,116,54,No,17,12,0,0,0,0,0,0
335983,2008,1,Chennai Super Kings,ML Hayden,25,17,Yes,5,8,0,0,0,0,0,0
335983,2008,1,Chennai Super Kings,MS Dhoni,2,3,Yes,0,1,0,0,0,0,0,0
335983,2008,1,Chennai Super Kings,PA Patel,15,10,Yes,3,5,0,0,0,0,0,0
335983,2008,1,Kings XI Punjab,PP Chawla,0,0,,0,0,19,0,6,0,1,3
335983,2008,1,Chennai Super Kings,S Badrinath,31,14,No,5,2,0,0,0,0,0,0
335983,2008,1,Kings XI Punjab,S Sreesanth,0,0,,0,0,34,0,18,1,5,6
335983,2008,1,Chennai Super Kings,SK Raina,32,13,Yes,5,3,0,0,0,0,0,0
335983,2008,1,Kings XI Punjab,WA Mota,0,0,,0,0,22,1,12,2,2,3
