Player,Season,Team,total_runs,total_balls_faced,total_wickets_taken,total_runs_conceded,total_balls_bowled,total_boundaries,total_dot_balls_faced,total_dot_balls_bowled,total_matches
A Ashish Reddy,2012,Deccan Chargers,35,29,11,227,163,4,11,55,9
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,3,69,40,13,24,10,10
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,4,49,36,8,12,9,6
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,1,39,23,6,9,5,3
A Badoni,2022,Lucknow Super Giants,161,130,2,11,12,18,47,3,11
A Badoni,2023,Lucknow Super Giants,238,172,0,0,1,25,52,1,12
A Badoni,2024,Lucknow Super Giants,235,171,0,25,12,27,45,1,12
A Badoni,2025,Lucknow Super Giants,329,222,2,13,10,41,64,3,13
A Chandila,2012,Rajasthan Royals,0,1,5,86,84,0,1,39,4
A Chandila,2013,Rajasthan Royals,4,6,6,156,150,0,2,64,8
A Chopra,2008,Kolkata Knight Riders,42,52,0,0,0,5,27,0,5
A Chopra,2009,Kolkata Knight Riders,11,19,0,0,0,2,13,0,1
A Choudhary,2017,Royal Challengers Bangalore,25,20,5,137,101,2,4,42,5
A Dananjaya,2018,Mumbai Indians,4,5,0,46,24,0,2,6,1
A Flintoff,2009,Chennai Super Kings,62,53,2,105,66,7,17,20,3
A Kamboj,2024,Mumbai Indians,2,2,2,102,60,0,0,19,3
A Kamboj,2025,Chennai Super Kings,14,12,8,171,129,2,6,55,8
A Kumble,2008,Royal Challengers Bangalore,13,17,8,294,230,1,7,85,10
A Kumble,2009,Royal Challengers Bangalore,16,19,22,340,355,2,9,138,16
A Kumble,2010,Royal Challengers Bangalore,6,11,19,385,380,0,4,151,16
A Manohar,2022,Gujarat Titans,108,75,0,0,0,17,26,0,7
A Manohar,2023,Gujarat Titans,114,83,0,0,0,13,25,0,6
A Manohar,2024,Gujarat Titans,9,16,0,0,0,1,11,0,2
A Manohar,2025,Sunrisers Hyderabad,61,61,0,0,0,6,28,0,5
A Mhatre,2025,Chennai Super Kings,240,127,0,0,0,42,41,0,7
A Mishra,2008,Delhi Daredevils,37,42,11,134,119,3,16,42,6
A Mishra,2009,Delhi Daredevils,26,20,14,283,253,4,10,98,11
A Mishra,2010,Delhi Daredevils,39,51,20,347,318,1,15,131,14
A Mishra,2011,Deccan Chargers,68,49,19,354,320,10,14,130,14
A Mishra,2012,Deccan Chargers,16,20,13,364,282,1,8,89,14
A Mishra,2013,Sunrisers Hyderabad,89,96,24,383,372,9,40,151,17
A Mishra,2014,Sunrisers Hyderabad,4,7,8,334,225,0,2,66,10
A Mishra,2015,Delhi Daredevils,8,12,9,301,241,0,5,75,12
