Player,Season,Team,total_runs,total_balls_faced,total_boundaries,times_dismissed,innings_batted,Strike_Rate,Batting_Average,Boundary_Percentage,z_runs,z_avg,z_sr,Batting_Impact_Score,Bowling_Impact_Score,total_wickets,Economy_Rate,total_balls_bowled,Batting_Impact_Z,Bowling_Impact_Z,Weighted_Impact_Score,Player_Role,Batting_Impact_Normalized,Bowling_Impact_Normalized,Overall_Impact_Normalized
A Ashish Reddy,2012,Deccan Chargers,35,29,4,4,5,120.6896551724138,8.75,13.793103448275861,-0.5242772158787097,-0.4479564024921609,0.3661901815063111,-0.24568887465522116,0.6654395313160927,11,8.355828220858896,163,4.7543111253447785,5.305439531316093,2.542494084463784,All-Rounder,19.279551421146053,48.46477419445602,28.373677734247966
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,13,6,10,140.4494382022472,20.833333333333332,14.606741573033707,0.09845708104194124,0.4384422079342973,0.9416915079112728,0.40242517813659406,-0.42708616520913956,3,10.350000000000001,40,5.402425178136594,4.212913834790861,5.283474043802021,Batter,32.51072857005548,22.85748929442101,60.21477104005589
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,8,3,5,158.69565217391303,24.333333333333332,17.391304347826086,-0.31123992962530606,0.47422930835245986,0.9915347285461243,0.19741285352278792,0.10090263826821844,4,8.166666666666668,36,5.197412853522788,4.740902638268219,5.106110810471875,All-Rounder,28.325424497430614,35.232813515786866,58.15439871144957
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,6,2,3,162.06896551724137,23.5,20.689655172413794,-0.4043448446517878,0.4052488066481467,1.0852608048894081,0.16397589790556108,-0.6018441886588467,1,10.173913043478262,23,5.163975897905561,4.038155811341153,5.163975897905561,Batter,27.642812723799064,18.76140394899015,58.82659904689807
A Badoni,2022,Lucknow Super Giants,161,130,18,8,11,123.84615384615385,20.125,13.846153846153847,0.25239804032074065,0.20113719064861807,0.35443011276651243,0.2753185346036538,0.33171510354335665,2,5.5,12,5.275318534603654,4.971715103543357,5.275318534603654,Batter,29.915860413527746,40.64273712268977,60.120031080919425
A Badoni,2023,Lucknow Super Giants,238,172,25,9,12,138.37209302325581,26.444444444444443,14.534883720930234,0.7169822915846691,0.723267280171033,0.6852587805187544,0.7084079865528493,,0,0.0,1,5.708407986552849,,5.708407986552849,Batter,38.75733397112173,,65.15109364024033
A Badoni,2024,Lucknow Super Giants,235,171,27,8,12,137.4269005847953,29.375,15.789473684210526,0.7286505861001792,0.7731147390898436,0.5055733466994775,0.6683970372284184,,0,12.5,12,5.668397037228418,,5.668397037228418,Batter,37.94051483855212,,64.6862991544752
A Badoni,2025,Lucknow Super Giants,329,222,41,10,11,148.19819819819818,32.9,18.46846846846847,1.1616138794370943,0.9770456376355553,0.5753444372134973,0.9580478104997843,0.23266057965080827,2,7.800000000000001,10,5.958047810499784,4.872660579650808,5.958047810499784,Batter,43.853703537305854,38.32103666107026,68.05108015785753
A Chandila,2012,Rajasthan Royals,0,1,0,0,1,0.0,0.0,0.0,-0.7582692175392883,-0.9514883774287805,-1.6597642664573473,-1.0577006061981298,0.37874501311758624,5,6.142857142857142,84,3.9422993938018704,5.018745013117586,5.018745013117586,Bowler,2.7024211756952274,41.74505288251169,57.139498002009205
A Chandila,2013,Rajasthan Royals,4,6,0,0,1,66.66666666666666,0.0,0.0,-0.6765207264557948,-1.0247481846194508,-0.3973327615373937,-0.6449984557048228,0.3090018731730819,6,6.24,150,4.3550015442951775,4.949001873173082,4.949001873173082,Bowler,11.127690214980875,40.1103705495816,56.32931410451398
A Chopra,2008,Kolkata Knight Riders,42,52,5,4,5,80.76923076923077,10.5,9.615384615384617,-0.4732721176576876,-0.4222066053337736,-0.4334301433594663,-0.45365969851963417,,0,999.0,0,4.546340301480366,,4.546340301480366,Batter,15.033849911509783,,51.651722562390304
A Chopra,2009,Kolkata Knight Riders,11,19,2,1,1,57.89473684210527,11.0,10.526315789473683,-0.6639598500539757,-0.28715844152345704,-0.6271432215938236,-0.5963946502363523,,0,999.0,0,4.403605349763648,,0.1,Low data,12.11993156122898,,0.0
A Choudhary,2017,Royal Challengers Bangalore,25,20,2,1,3,125.0,25.0,10.0,-0.6027376688949992,0.5828180248932391,0.44911873932130963,-0.10934739236187083,0.17072592696590805,5,8.138613861386139,101,4.890652607638129,4.810725926965908,4.85468560133563,All-Rounder,22.0629477959006,36.86937442417172,55.233671941352256
A Dananjaya,2018,Mumbai Indians,4,5,0,0,1,80.0,0.0,0.0,-0.7176421004612439,-1.0655128731334218,-0.46549451142952075,-0.6941784396525537,,0,11.5,24,4.305821560347447,,0.1,Low data,10.123686248410554,,0.0
A Flintoff,2009,Chennai Super Kings,62,53,7,2,3,116.98113207547169,31.0,13.20754716981132,-0.2519532031839657,1.1615306431058625,0.6284110148026371,0.22417863915548933,-0.6098503046049086,2,9.545454545454545,66,5.22417863915549,4.0301496953950915,5.10477574477945,Batter,28.87184506910392,18.573751711037698,58.13888967748635
A Kamboj,2024,Mumbai Indians,2,2,0,0,1,100.0,0.0,0.0,-0.7221261573506518,-0.9997684028350882,-0.05888497858492809,-0.5648001405436002,-0.2779051119293774,2,10.2,60,4.4351998594564,4.362094888070622,4.362094888070622,Bowler,12.76493000382874,26.354085983333714,49.51140213444993
A Kamboj,2025,Chennai Super Kings,14,12,2,2,5,116.66666666666667,7.0,16.666666666666664,-0.6457426789224657,-0.5688361625909624,0.15665409290864302,-0.3934876699234076,0.6241919794585049,8,7.953488372093023,129,4.606512330076592,5.264191979458505,2.50056005985287,All-Rounder,16.262255261365162,47.49798886830253,27.886543493891637
A Kumble,2008,Royal Challengers Bangalore,13,17,1,1,4,76.47058823529412,13.0,5.88235294117647,-0.6909331966478423,-0.3032170715002853,-0.520016602488151,-0.5815007996278013,0.30913341498594826,8,7.669565217391304,230,4.418499200372199,4.9491334149859485,2.3684398645702243,All-Rounder,12.423987884313261,40.11345370697465,26.351745163373398
A Kumble,2009,Royal Challengers Bangalore,16,19,2,1,6,84.21052631578947,16.0,10.526315789473683,-0.6235670415373081,0.07501382963387282,-0.0679467969802741,-0.3520938374945208,2.0199696211745564,22,5.746478873239436,355,4.647906162505479,6.6599696211745565,6.458763275307649,Bowler,17.1073058005097,80.21307817210496,73.8677326219848
A Kumble,2010,Royal Challengers Bangalore,6,11,0,0,5,54.54545454545454,0.0,0.0,-0.6733448558058178,-1.078646855051508,-0.8127220226665585,-0.7759533057508936,1.8354456202299996,19,6.078947368421052,380,4.224046694249107,6.4754456202299995,6.25030572763191,Bowler,8.454261345471389,75.88809187831806,71.44614752311176
A Manohar,2022,Gujarat Titans,108,75,17,6,7,144.0,18.0,22.666666666666664,-0.0847800262791344,0.06686361848992978,0.691676976342235,0.17090362122263603,,0,999.0,0,5.170903621222636,,5.170903621222636,Batter,27.7842414338417,,58.9070762075516
A Manohar,2023,Gujarat Titans,114,83,13,6,6,137.34939759036143,19.0,15.66265060240964,-0.017050775836848,0.24738385222356368,0.6685199032877736,0.2282856221096002,,0,999.0,0,5.2282856221096,,5.2282856221096,Batter,28.955688674684314,,59.57366468007619
A Manohar,2024,Gujarat Titans,9,16,1,2,2,56.25,4.5,6.25,-0.6785405899508414,-0.7281777938593539,-0.7187058920277346,-0.6980357611601863,,0,999.0,0,4.301964238839814,,4.301964238839814,Batter,10.044939453817936,,48.812883487433176
A Manohar,2025,Sunrisers Hyderabad,61,61,6,5,5,100.0,12.2,9.836065573770492,-0.3760736051354837,-0.2584660714257928,-0.06465366050963726,-0.26500649169127616,,0,999.0,0,4.734993508308724,,4.734993508308724,Batter,18.885184392691976,,53.84324692600217
A Mhatre,2025,Chennai Super Kings,240,127,42,7,7,188.9763779527559,34.285714285714285,33.07086614173229,0.6509639312021711,1.0597541509405592,1.1168160782115752,0.8520381082657507,,0,999.0,0,5.85203810826575,,5.85203810826575,Batter,41.68952711848009,,66.81959912909082
A Mishra,2008,Delhi Daredevils,37,42,3,3,3,88.09523809523809,12.333333333333334,7.142857142857142,-0.5107998898973695,-0.3349476138558821,-0.2858642481025605,-0.41694135595270365,0.9849679291527056,11,6.756302521008403,119,4.583058644047297,5.624967929152706,5.520777000642164,Bowler,15.7834508390389,55.95407604161391,62.97144409224244
A Mishra,2009,Delhi Daredevils,26,20,4,2,5,130.0,13.0,20.0,-0.5427814245039728,-0.1422895330605251,0.9050549818473028,-0.04835671888207299,1.0968563176268584,14,6.711462450592885,253,4.951643281117927,5.7368563176268585,5.658335013975965,Bowler,23.308065691070993,58.576584463865245,64.56941182732236
A Mishra,2010,Delhi Daredevils,39,51,1,4,7,76.47058823529412,9.75,1.9607843137254901,-0.4348887369062396,-0.4287363850911041,-0.37161174892170123,-0.41498278773860775,1.9231436448224102,20,6.547169811320755,318,4.585017212261392,6.563143644822411,6.365331001566309,Bowler,15.823434793849476,77.94361176956693,72.78235958383604
A Mishra,2011,Deccan Chargers,68,49,10,4,9,138.77551020408163,17.0,20.408163265306122,-0.228473399949708,0.10584471584622522,0.9234971641887769,0.16726548666122742,1.6508142965878405,19,6.637499999999999,320,5.167265486661227,6.290814296587841,6.178459415595179,Bowler,27.70996931666384,71.56059008956161,70.61153174365451
A Mishra,2012,Deccan Chargers,16,20,1,3,5,80.0,5.333333333333333,5.0,-0.6513014453515953,-0.6445736498483648,-0.3168458895214366,-0.5499556092770632,0.8334935487157644,13,7.74468085106383,282,4.450044390722937,5.473493548715765,5.371148632916483,Bowler,13.067979477966842,52.40372694937591,61.233258885262885
