match_id,season,venue,team_batting_first,chasing_team,defending_team,toss_winner,toss_decision,first_innings_runs,first_innings_wickets,target_runs,required_run_rate,actual_winner,won_chasing,final_runs_chasing,runs_margin(if won chasing)
335982,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,222,3,223.0,11.15,Kolkata Knight Riders,0,82,0.0
335983,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,240,5,241.0,12.05,Chennai Super Kings,0,207,0.0
335984,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,129,8,130.0,6.5,Delhi Daredevils,1,132,2.0
335985,2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,165,6,166.0,8.3,Royal Challengers Bangalore,1,166,0.0
335986,2008,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,110,10,111.0,5.55,Kolkata Knight Riders,1,112,1.0
335987,2008,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,166,8,167.0,8.35,Rajasthan Royals,1,168,1.0
335988,2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,142,8,143.0,7.15,Delhi Daredevils,1,143,0.0
335989,2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,208,5,209.0,10.45,Chennai Super Kings,0,202,0.0
335990,2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,214,5,215.0,10.75,Rajasthan Royals,1,217,2.0
335991,2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,182,10,183.0,9.15,Kings XI Punjab,0,116,0.0
335992,2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,135,8,136.0,6.8,Rajasthan Royals,1,138,2.0
335993,2008,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,147,9,148.0,7.4,Chennai Super Kings,1,152,4.0
335994,2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,154,7,155.0,7.75,Deccan Chargers,1,155,0.0
