Player,Season,Team,total_runs,total_balls_faced,total_boundaries,times_dismissed,innings_batted,Strike_Rate,Batting_Average,Boundary_Percentage
A Ashish Reddy,2012,Deccan Chargers,35,29,4,4,5,120.6896551724138,8.75,13.793103448275861
A Ashish Reddy,2013,Sunrisers Hyderabad,125,89,13,6,10,140.4494382022472,20.833333333333332,14.606741573033707
A Ashish Reddy,2015,Sunrisers Hyderabad,73,46,8,3,5,158.69565217391303,24.333333333333332,17.391304347826086
A Ashish Reddy,2016,Sunrisers Hyderabad,47,29,6,2,3,162.06896551724137,23.5,20.689655172413794
A Badoni,2022,Lucknow Super Giants,161,130,18,8,11,123.84615384615385,20.125,13.846153846153847
A Badoni,2023,Lucknow Super Giants,238,172,25,9,12,138.37209302325581,26.444444444444443,14.534883720930234
A Badoni,2024,Lucknow Super Giants,235,171,27,8,12,137.4269005847953,29.375,15.789473684210526
A Badoni,2025,Lucknow Super Giants,329,222,41,10,11,148.19819819819818,32.9,18.46846846846847
A Chandila,2012,Rajasthan Royals,0,1,0,0,1,0.0,,0.0
A Chandila,2013,Rajasthan Royals,4,6,0,0,1,66.66666666666666,,0.0
A Chopra,2008,Kolkata Knight Riders,42,52,5,4,5,80.76923076923077,10.5,9.615384615384617
A Chopra,2009,Kolkata Knight Riders,11,19,2,1,1,57.89473684210527,11.0,10.526315789473683
A Choudhary,2017,Royal Challengers Bangalore,25,20,2,1,3,125.0,25.0,10.0
A Dananjaya,2018,Mumbai Indians,4,5,0,0,1,80.0,,0.0
A Flintoff,2009,Chennai Super Kings,62,53,7,2,3,116.98113207547169,31.0,13.20754716981132
A Kamboj,2024,Mumbai Indians,2,2,0,0,1,100.0,,0.0
A Kamboj,2025,Chennai Super Kings,14,12,2,2,5,116.66666666666667,7.0,16.666666666666664
A Kumble,2008,Royal Challengers Bangalore,13,17,1,1,4,76.47058823529412,13.0,5.88235294117647
A Kumble,2009,Royal Challengers Bangalore,16,19,2,1,6,84.21052631578947,16.0,10.526315789473683
A Kumble,2010,Royal Challengers Bangalore,6,11,0,0,5,54.54545454545454,,0.0
A Manohar,2022,Gujarat Titans,108,75,17,6,7,144.0,18.0,22.666666666666664
A Manohar,2023,Gujarat Titans,114,83,13,6,6,137.34939759036143,19.0,15.66265060240964
A Manohar,2024,Gujarat Titans,9,16,1,2,2,56.25,4.5,6.25
A Manohar,2025,Sunrisers Hyderabad,61,61,6,5,5,100.0,12.2,9.836065573770492
A Mhatre,2025,Chennai Super Kings,240,127,42,7,7,188.9763779527559,34.285714285714285,33.07086614173229
A Mishra,2008,Delhi Daredevils,37,42,3,3,3,88.09523809523809,12.333333333333334,7.142857142857142
A Mishra,2009,Delhi Daredevils,26,20,4,2,5,130.0,13.0,20.0
A Mishra,2010,Delhi Daredevils,39,51,1,4,7,76.47058823529412,9.75,1.9607843137254901
A Mishra,2011,Deccan Chargers,68,49,10,4,9,138.77551020408163,17.0,20.408163265306122
A Mishra,2012,Deccan Chargers,16,20,1,3,5,80.0,5.333333333333333,5.0
A Mishra,2013,Sunrisers Hyderabad,89,96,9,3,6,92.70833333333334,29.666666666666668,9.375
A Mishra,2014,Sunrisers Hyderabad,4,7,0,1,2,57.14285714285714,4.0,0.0
A Mishra,2015,Delhi Daredevils,8,12,0,2,4,66.66666666666666,4.0,0.0
A Mishra,2016,Delhi Daredevils,4,14,0,2,2,28.57142857142857,2.0,0.0
A Mishra,2017,Delhi Daredevils,49,52,4,1,6,94.23076923076923,49.0,7.6923076923076925
A Mishra,2018,Delhi Daredevils,1,2,0,0,1,50.0,,0.0
A Mishra,2019,Delhi Capitals,21,24,2,2,4,87.5,10.5,8.333333333333332
A Mishra,2020,Delhi Capitals,0,0,0,0,0,0.0,,0.0
A Mishra,2021,Delhi Capitals,0,0,0,0,0,0.0,,0.0
A Mishra,2023,Lucknow Super Giants,19,30,2,1,1,63.33333333333333,19.0,6.666666666666667
A Mishra,2024,Lucknow Super Giants,0,0,0,0,0,0.0,,0.0
A Mithun,2009,Royal Challengers Bangalore,0,0,0,0,0,0.0,,0.0
A Mithun,2010,Royal Challengers Bangalore,5,4,1,1,1,125.0,5.0,25.0
A Mithun,2011,Royal Challengers Bangalore,27,20,4,3,4,135.0,9.0,20.0
A Mithun,2012,Royal Challengers Bangalore,0,0,0,0,0,0.0,,0.0
A Mithun,2013,Royal Challengers Bangalore,2,2,0,1,1,100.0,2.0,0.0
A Mukund,2008,Chennai Super Kings,0,1,0,1,1,0.0,0.0,0.0
A Mukund,2013,Royal Challengers Bangalore,19,21,1,1,1,90.47619047619048,19.0,4.761904761904762
A Nehra,2008,Mumbai Indians,3,13,0,0,3,23.076923076923077,,0.0
A Nehra,2009,Delhi Daredevils,1,1,0,0,1,100.0,,0.0
A Nehra,2010,Delhi Daredevils,23,20,3,1,2,114.99999999999999,23.0,15.0
A Nehra,2012,Pune Warriors,11,12,1,0,2,91.66666666666666,,8.333333333333332
A Nehra,2013,Delhi Daredevils,1,8,0,4,4,12.5,0.25,0.0
A Nehra,2014,Chennai Super Kings,0,0,0,0,0,0.0,,0.0
A Nehra,2015,Chennai Super Kings,1,7,0,1,4,14.285714285714285,1.0,0.0
A Nehra,2016,Sunrisers Hyderabad,1,1,0,0,1,100.0,,0.0
A Nehra,2017,Sunrisers Hyderabad,0,0,0,0,0,0.0,,0.0
A Nel,2008,Mumbai Indians,0,0,0,0,0,0.0,,0.0
A Nortje,2020,Delhi Capitals,7,6,0,1,3,116.66666666666667,7.0,0.0
A Nortje,2021,Delhi Capitals,0,0,0,0,0,0.0,,0.0
A Nortje,2022,Delhi Capitals,1,6,0,0,1,16.666666666666664,,0.0
A Nortje,2023,Delhi Capitals,37,29,6,2,7,127.58620689655173,18.5,20.689655172413794
A Nortje,2024,Delhi Capitals,4,8,0,2,2,50.0,2.0,0.0
A Nortje,2025,Kolkata Knight Riders,0,0,0,0,0,0.0,,0.0
A Raghuvanshi,2024,Kolkata Knight Riders,163,105,24,7,7,155.23809523809524,23.285714285714285,22.857142857142858
A Raghuvanshi,2025,Kolkata Knight Riders,300,215,38,9,11,139.53488372093022,33.333333333333336,17.674418604651162
A Singh,2009,Rajasthan Royals,1,3,0,1,2,33.33333333333333,1.0,0.0
A Singh,2011,Rajasthan Royals,1,4,0,2,2,25.0,0.5,0.0
A Singh,2012,Rajasthan Royals,0,3,0,1,1,0.0,0.0,0.0
A Symonds,2008,Deccan Chargers,161,105,24,2,3,153.33333333333334,80.5,22.857142857142858
A Symonds,2009,Deccan Chargers,249,166,26,7,8,150.0,35.57142857142857,15.66265060240964
A Symonds,2010,Deccan Chargers,429,341,53,12,16,125.80645161290323,35.75,15.542521994134898
A Symonds,2011,Mumbai Indians,135,138,12,3,9,97.82608695652173,45.0,8.695652173913043
