Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage
A Ashish Reddy,2012,11,227,163,55,26,9,8.355828220858896,14.818181818181818,33.74233128834356
A Ashish Reddy,2013,3,69,40,10,10,10,10.350000000000001,13.333333333333334,25.0
A Ashish Reddy,2015,4,49,36,9,4,6,8.166666666666668,9.0,25.0
A Ashish Reddy,2016,1,39,23,5,6,3,10.173913043478262,23.0,21.73913043478261
A Badoni,2022,2,11,12,3,0,11,5.5,6.0,25.0
A Badoni,2023,0,0,1,1,0,12,0.0,,100.0
A Badoni,2024,0,25,12,1,3,12,12.5,,8.333333333333332
A Badoni,2025,2,13,10,3,1,13,7.800000000000001,5.0,30.0
A Chandila,2012,5,86,84,39,9,4,6.142857142857142,16.8,46.42857142857143
A Chandila,2013,6,156,150,64,18,8,6.24,25.0,42.66666666666667
A Chopra,2008,0,0,0,0,0,5,,,0.0
A Chopra,2009,0,0,0,0,0,1,,,0.0
A Choudhary,2017,5,137,101,42,19,5,8.138613861386139,20.2,41.584158415841586
A Dananjaya,2018,0,46,24,6,6,1,11.5,,25.0
A Flintoff,2009,2,105,66,20,14,3,9.545454545454545,33.0,30.303030303030305
A Kamboj,2024,2,102,60,19,15,3,10.2,30.0,31.666666666666664
A Kamboj,2025,8,171,129,55,25,8,7.953488372093023,16.125,42.63565891472868
A Kumble,2008,8,294,230,85,41,10,7.669565217391304,28.75,36.95652173913043
A Kumble,2009,22,340,355,138,26,16,5.746478873239436,16.136363636363637,38.87323943661972
A Kumble,2010,19,385,380,151,39,16,6.078947368421052,20.0,39.73684210526316
A Manohar,2022,0,0,0,0,0,7,,,0.0
A Manohar,2023,0,0,0,0,0,6,,,0.0
A Manohar,2024,0,0,0,0,0,2,,,0.0
A Manohar,2025,0,0,0,0,0,5,,,0.0
A Mhatre,2025,0,0,0,0,0,7,,,0.0
A Mishra,2008,11,134,119,42,12,6,6.756302521008403,10.818181818181818,35.294117647058826
A Mishra,2009,14,283,253,98,26,11,6.711462450592885,18.071428571428573,38.73517786561265
A Mishra,2010,20,347,318,131,41,14,6.547169811320755,15.9,41.19496855345912
A Mishra,2011,19,354,320,130,40,14,6.637499999999999,16.842105263157894,40.625
A Mishra,2012,13,364,282,89,36,14,7.74468085106383,21.692307692307693,31.560283687943265
A Mishra,2013,24,383,372,151,36,17,6.17741935483871,15.5,40.59139784946236
A Mishra,2014,8,334,225,66,38,10,8.906666666666666,28.125,29.333333333333332
A Mishra,2015,9,301,241,75,29,12,7.4937759336099585,26.77777777777778,31.12033195020747
A Mishra,2016,14,331,276,93,36,14,7.195652173913043,19.714285714285715,33.69565217391305
A Mishra,2017,10,339,233,78,43,14,8.72961373390558,23.3,33.47639484978541
A Mishra,2018,13,259,222,73,24,10,7.0,17.076923076923077,32.88288288288289
A Mishra,2019,10,267,240,82,24,11,6.675000000000001,24.0,34.166666666666664
A Mishra,2020,3,70,60,17,6,3,7.0,20.0,28.333333333333332
A Mishra,2021,6,109,84,25,10,4,7.7857142857142865,14.0,29.761904761904763
A Mishra,2023,7,148,114,30,16,7,7.7894736842105265,16.285714285714285,26.31578947368421
A Mishra,2024,1,20,12,5,3,1,10.0,12.0,41.66666666666667
A Mithun,2009,0,39,24,7,5,1,9.75,,29.166666666666668
A Mithun,2010,1,37,18,2,5,1,12.333333333333332,18.0,11.11111111111111
A Mithun,2011,6,291,204,67,39,12,8.558823529411764,34.0,32.84313725490196
A Mithun,2012,0,32,18,5,6,1,10.666666666666666,,27.77777777777778
A Mithun,2013,1,36,24,9,6,1,9.0,24.0,37.5
A Mukund,2008,0,0,0,0,0,1,,,0.0
A Mukund,2013,0,0,0,0,0,1,,,0.0
A Nehra,2008,14,332,269,120,55,14,7.405204460966543,19.214285714285715,44.60966542750929
A Nehra,2009,22,320,306,139,38,13,6.274509803921569,13.909090909090908,45.42483660130719
A Nehra,2010,6,95,84,37,13,4,6.785714285714286,14.0,44.047619047619044
A Nehra,2012,12,392,288,99,56,13,8.166666666666668,24.0,34.375
A Nehra,2013,13,307,216,84,46,10,8.527777777777779,16.615384615384617,38.88888888888889
A Nehra,2014,8,139,90,30,22,4,9.266666666666667,11.25,33.33333333333333
A Nehra,2015,24,436,372,170,61,16,7.03225806451613,15.5,45.69892473118279
A Nehra,2016,11,192,156,72,30,8,7.384615384615385,14.181818181818182,46.15384615384615
A Nehra,2017,10,192,127,47,32,6,9.070866141732283,12.7,37.00787401574803
A Nel,2008,1,31,18,7,5,1,10.333333333333334,18.0,38.88888888888889
A Nortje,2020,23,502,366,149,77,16,8.229508196721312,15.91304347826087,40.7103825136612
A Nortje,2021,12,174,182,79,19,8,5.736263736263736,15.166666666666666,43.40659340659341
A Nortje,2022,9,200,134,47,30,6,8.955223880597016,14.88888888888889,35.07462686567165
A Nortje,2023,11,347,240,90,49,10,8.675,21.818181818181817,37.5
A Nortje,2024,7,280,132,36,46,6,12.727272727272727,18.857142857142858,27.27272727272727
A Nortje,2025,1,76,42,14,15,2,10.857142857142858,42.0,33.33333333333333
A Raghuvanshi,2024,0,0,0,0,0,7,,,0.0
A Raghuvanshi,2025,0,0,0,0,0,11,,,0.0
A Singh,2009,9,92,105,56,11,5,5.257142857142857,11.666666666666666,53.333333333333336
A Singh,2011,10,211,171,75,33,9,7.4035087719298245,17.1,43.859649122807014
A Singh,2012,12,299,197,58,40,9,9.106598984771573,16.416666666666668,29.441624365482234
A Symonds,2008,0,94,41,9,15,3,13.756097560975608,,21.951219512195124
A Symonds,2009,9,156,144,65,17,8,6.5,16.0,45.13888888888889
A Symonds,2010,13,365,318,106,38,16,6.886792452830189,24.46153846153846,33.33333333333333
A Symonds,2011,1,41,24,10,7,9,10.25,24.0,41.66666666666667
A Tomar,2022,0,0,0,0,0,1,,,0.0
A Uniyal,2010,3,64,36,8,9,2,10.666666666666666,12.0,22.22222222222222
A Zampa,2016,12,110,102,32,9,5,6.470588235294118,8.5,31.372549019607842
A Zampa,2017,7,160,119,38,17,6,8.067226890756302,17.0,31.932773109243694
A Zampa,2020,2,91,66,20,9,3,8.272727272727273,33.0,30.303030303030305
A Zampa,2023,9,186,132,39,23,6,8.454545454545455,14.666666666666666,29.545454545454547
A Zampa,2025,2,92,48,10,13,2,11.5,24.0,20.833333333333336
AA Bilakhia,2009,0,0,0,0,0,6,,,0.0
AA Bilakhia,2010,0,0,0,0,0,1,,,0.0
AA Chavan,2011,0,27,30,17,4,2,5.4,,56.666666666666664
AA Chavan,2012,7,230,164,55,32,8,8.414634146341463,23.428571428571427,33.53658536585366
AA Chavan,2013,1,61,54,28,8,3,6.777777777777777,54.0,51.85185185185185
AA Jhunjhunwala,2010,0,67,37,12,10,11,10.864864864864865,,32.432432432432435
AA Jhunjhunwala,2011,0,21,12,1,2,3,10.5,,8.333333333333332
AA Jhunjhunwala,2012,1,38,36,14,4,4,6.333333333333334,36.0,38.88888888888889
AA Kazi,2011,1,20,12,2,2,1,10.0,12.0,16.666666666666664
AA Kulkarni,2024,0,0,0,0,0,2,,,0.0
AA Noffke,2008,1,35,24,6,4,1,8.75,24.0,25.0
AB Agarkar,2008,8,195,156,66,29,9,7.5,19.5,42.30769230769231
AB Agarkar,2009,8,270,186,65,41,11,8.70967741935484,23.25,34.946236559139784
AB Agarkar,2010,4,193,132,40,29,7,8.772727272727273,33.0,30.303030303030305
AB Agarkar,2011,9,229,162,46,27,7,8.481481481481481,18.0,28.39506172839506
AB Agarkar,2012,4,130,86,20,17,4,9.069767441860465,21.5,23.25581395348837
AB Agarkar,2013,0,89,60,17,11,4,8.9,,28.333333333333332
AB Barath,2010,0,0,0,0,0,3,,,0.0
AB Dinda,2008,11,245,234,116,40,13,6.282051282051283,21.272727272727273,49.572649572649574
AB Dinda,2009,6,187,144,67,27,8,7.791666666666667,24.0,46.52777777777778
AB Dinda,2010,12,147,139,64,22,7,6.345323741007195,11.583333333333334,46.043165467625904
AB Dinda,2011,5,142,102,41,24,5,8.352941176470587,20.4,40.19607843137255
AB Dinda,2012,10,156,144,61,20,7,6.5,14.4,42.36111111111111
AB Dinda,2013,18,448,294,105,69,13,9.142857142857142,16.333333333333332,35.714285714285715
AB Dinda,2014,5,250,186,64,31,9,8.064516129032258,37.2,34.40860215053764
AB Dinda,2015,0,54,30,4,7,2,10.8,,13.333333333333334
AB Dinda,2016,13,218,183,84,31,9,7.147540983606557,14.076923076923077,45.90163934426229
AB Dinda,2017,1,114,60,21,19,3,11.399999999999999,60.0,35.0
AB McDonald,2009,0,22,18,2,1,1,7.333333333333334,,11.11111111111111
AB McDonald,2010,8,137,84,21,18,4,9.785714285714285,10.5,25.0
AB McDonald,2011,0,23,12,5,4,1,11.5,,41.66666666666667
AB McDonald,2012,5,60,60,18,5,3,6.0,12.0,30.0
AB McDonald,2013,1,17,12,4,3,1,8.5,12.0,33.33333333333333
AB de Villiers,2008,0,0,0,0,0,6,,,0.0
AB de Villiers,2009,0,0,0,0,0,13,,,0.0
AB de Villiers,2010,0,0,0,0,0,7,,,0.0
AB de Villiers,2011,0,0,0,0,0,13,,,0.0
AB de Villiers,2012,0,0,0,0,0,13,,,0.0
AB de Villiers,2013,0,0,0,0,0,14,,,0.0
AB de Villiers,2014,0,0,0,0,0,13,,,0.0
AB de Villiers,2015,0,0,0,0,0,14,,,0.0
AB de Villiers,2016,0,0,0,0,0,16,,,0.0
AB de Villiers,2017,0,0,0,0,0,9,,,0.0
AB de Villiers,2018,0,0,0,0,0,11,,,0.0
AB de Villiers,2019,0,0,0,0,0,13,,,0.0
AB de Villiers,2020,0,0,0,0,0,14,,,0.0
AB de Villiers,2021,0,0,0,0,0,14,,,0.0
AC Blizzard,2011,0,0,0,0,0,6,,,0.0
AC Blizzard,2012,0,0,0,0,0,1,,,0.0
